
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
266,4,Sep 20 2014,3:30 PM,Sat,(6) Texas A&amp;M,58,@,Southern Methodist,6,ABC (ESPN 2 mirror),
272,4,Sep 20 2014,12:00 PM,Sat,(19) Wisconsin,68,,Bowling Green State,17,ESPN 2,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
275,5,Sep 25 2014,7:30 PM,Thu,(24) Oklahoma State,45,,Texas Tech,35,ESPN,
276,5,Sep 25 2014,10:00 PM,Thu,(11) UCLA,62,@,(15) Arizona State,27,FS1,
281,5,Sep 27 2014,4:00 PM,Sat,(5) Auburn,45,,Louisiana Tech,17,SEC Network,
282,5,Sep 27 2014,8:00 PM,Sat,(7) Baylor,49,@,Iowa State,28,FOX,
290,5,Sep 27 2014,3:30 PM,Sat,(1) Florida State,56,@,North Carolina State,41,ABC (ESPN 2 mirror),
291,5,Sep 27 2014,12:00 PM,Sat,(12) Georgia,35,,Tennessee,32,ESPN,
293,5,Sep 27 2014,12:00 PM,Sat,(25) Kansas State,58,,Texas-El Paso,28,FSN MSG+ MASN2 SSO,
295,5,Sep 27 2014,7:30 PM,Sat,(17) Louisiana State,63,,New Mexico State,7,SEC Network,
300,5,Sep 27 2014,12:00 PM,Sat,(9) Michigan State,56,,Wyoming,14,ESPN 2,
302,5,Sep 27 2014,7:30 PM,Sat,(10) Mississippi,24,,Memphis,3,FSN-FL OH DET MW SD,
303,5,Sep 27 2014,7:00 PM,Sat,Missouri,21,@,(13) South Carolina,20,ESPN,
304,5,Sep 27 2014,9:00 PM,Sat,(21) Nebraska,45,,Illinois,14,Big Ten Network,
307,5,Sep 27 2014,8:00 PM,Sat,(8) Notre Dame,31,,Syracuse,15,ABC,MetLife Stadium - East Rutherford NJ
309,5,Sep 27 2014,6:00 PM,Sat,(22) Ohio State,50,,Cincinnati,28,Big Ten Network,
314,5,Sep 27 2014,10:30 PM,Sat,(18) Southern California,35,,Oregon State,10,ESPN,
315,5,Sep 27 2014,4:15 PM,Sat,(16) Stanford,20,@,Washington,13,FOX,
318,5,Sep 27 2014,3:30 PM,Sat,(6) Texas A&amp;M,35,,Arkansas,28,CBS,AT&amp;T Stadium - Arlington TX
326,5,Sep 27 2014,12:00 PM,Sat,(19) Wisconsin,27,,South Florida,10,ESPN U,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
328,6,Oct 2 2014,10:30 PM,Thu,Arizona,31,@,(2) Oregon,24,ESPN,
333,6,Oct 3 2014,10:26 PM,Fri,Utah State,35,@,(18) Brigham Young,20,ESPN,
337,6,Oct 4 2014,7:30 PM,Sat,Arizona State,38,@,(16) Southern California,34,FOX,
340,6,Oct 4 2014,7:00 PM,Sat,(5) Auburn,41,,(15) Louisiana State,7,ESPN,
341,6,Oct 4 2014,3:30 PM,Sat,(7) Baylor,28,@,Texas,7,ABC,
348,6,Oct 4 2014,12:00 PM,Sat,(22) East Carolina,45,,Southern Methodist,24,ESPN U,
350,6,Oct 4 2014,3:30 PM,Sat,(1) Florida State,43,,Wake Forest,3,ABC Regional,
351,6,Oct 4 2014,4:00 PM,Sat,(13) Georgia,44,,Vanderbilt,17,SEC Network,
355,6,Oct 4 2014,7:00 PM,Sat,(23) Kansas State,45,,Texas Tech,13,ESPN U,
362,6,Oct 4 2014,8:00 PM,Sat,(10) Michigan State,27,,(19) Nebraska,22,ABC,
364,6,Oct 4 2014,3:30 PM,Sat,(11) Mississippi,23,,(3) Alabama,17,CBS,
365,6,Oct 4 2014,12:00 PM,Sat,(12) Mississippi State,48,,(6) Texas A&amp;M,31,ESPN,
368,6,Oct 4 2014,3:30 PM,Sat,Northwestern,20,,(17) Wisconsin,14,ESPN 2,
369,6,Oct 4 2014,3:30 PM,Sat,(9) Notre Dame,17,,(14) Stanford,14,NBC,
370,6,Oct 4 2014,12:00 PM,Sat,(20) Ohio State,52,@,Maryland,24,ABC,
371,6,Oct 4 2014,12:00 PM,Sat,(21) Oklahoma State,37,,Iowa State,20,FS1,
378,6,Oct 4 2014,3:30 PM,Sat,(25) Texas Christian,37,,(4) Oklahoma,33,FOX,
381,6,Oct 4 2014,10:30 PM,Sat,Utah,30,@,(8) UCLA,28,ESPN,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
388,7,Oct 10 2014,9:00 PM,Fri,(25) Stanford,34,,Washington State,17,ESPN,
390,7,Oct 11 2014,6:00 PM,Sat,(7) Alabama,14,@,Arkansas,13,ESPN,
393,7,Oct 11 2014,3:30 PM,Sat,(5) Baylor,61,,(9) Texas Christian,58,ESPN 2,
399,7,Oct 11 2014,12:30 PM,Sat,Duke,31,@,(22) Georgia Tech,25,ACC Network,
400,7,Oct 11 2014,7:00 PM,Sat,(19) East Carolina,28,@,South Florida,17,ESPN U,
402,7,Oct 11 2014,12:00 PM,Sat,(1) Florida State,38,@,Syracuse,20,ESPN,
403,7,Oct 11 2014,12:00 PM,Sat,(13) Georgia,34,@,(23) Missouri,0,CBS,
416,7,Oct 11 2014,3:30 PM,Sat,(8) Michigan State,45,@,Purdue,31,ABC,
418,7,Oct 11 2014,9:15 PM,Sat,(3) Mississippi,35,@,(14) Texas A&amp;M,20,ESPN,
419,7,Oct 11 2014,3:39 PM,Sat,(3) Mississippi State,38,,(2) Auburn,23,CBS,
421,7,Oct 11 2014,3:30 PM,Sat,(6) Notre Dame,50,,North Carolina,43,NBC,
422,7,Oct 11 2014,12:00 PM,Sat,(11) Oklahoma,31,,Texas,26,ABC,Cotton Bowl - Dallas TX
423,7,Oct 11 2014,4:00 PM,Sat,(16) Oklahoma State,27,@,Kansas,20,FS1,
424,7,Oct 11 2014,3:30 PM,Sat,(12) Oregon,42,@,(18) UCLA,30,FOX,
426,7,Oct 11 2014,10:30 PM,Sat,Southern California,28,@,(10) Arizona,26,ESPN 2,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
441,8,Oct 16 2014,10:00 PM,Thu,(20) Utah,29,@,Oregon State,23,FS2,
445,8,Oct 18 2014,3:30 PM,Sat,(7) Alabama,59,,(21) Texas A&amp;M,0,CBS,
447,8,Oct 18 2014,10:30 PM,Sat,(17) Arizona State,26,,(23) Stanford,10,ESPN,
451,8,Oct 18 2014,3:30 PM,Sat,(24) Clemson,17,@,Boston College,13,ESPN U,
455,8,Oct 18 2014,8:00 PM,Sat,(2) Florida State,31,,(5) Notre Dame,27,ABC,
456,8,Oct 18 2014,4:00 PM,Sat,(10) Georgia,45,,Arkansas,32,SEC Network,War Memorial Stadium - Little Rock AR
458,8,Oct 18 2014,12:00 PM,Sat,(14) Kansas State,31,@,(11) Oklahoma,30,ESPN,
463,8,Oct 18 2014,6:00 PM,Sat,(25) Marshall,45,@,Florida International,13,American Sports Network,
466,8,Oct 18 2014,3:30 PM,Sat,(8) Michigan State,56,@,Indiana,17,ESPN,
469,8,Oct 18 2014,7:00 PM,Sat,(3) Mississippi,34,,Tennessee,3,ESPN,
