Date,PSA Sales,Orders,Online Sls %,Carryout %,Papa Rewards Customer Enrollments
2014-07-31,2981.016571,16310,48.78616032,39.94481913,548212
2014-08-01,4520.945238,23789,47.86491447,40.922275,548807
2014-08-02,3861.717524,20345,47.07532799,40.32440403,549375
2014-08-03,2764.286286,14971,49.42990537,39.6099125,549779
2014-08-04,2017.781333,11679,48.23592665,40.16611011,550040
2014-08-05,2333.177524,14855,47.92621662,50.42073376,550426
2014-08-06,2348.213048,13401,48.61715516,41.8700097,550799
2014-08-07,2604.384952,14569,49.48360351,40.62735946,551207
2014-08-08,4972.862857,26401,52.99404999,40.40377258,552010
2014-08-09,4393.658667,24077,52.48877083,40.19603771,552816
2014-08-10,2713.882667,14969,51.88172152,40.55047097,553269
2014-08-11,1706.225429,10132,50.00935231,41.55151994,553547
2014-08-12,2117.411333,13937,50.27876132,52.3211595,553866
2014-08-13,2100.608762,12198,50.23541022,42.84308903,554207
2014-08-14,2489.784571,14240,49.16683937,42.66853933,554545
2014-08-15,4475.673619,23670,50.83064591,41.79552176,555172
2014-08-16,4312.709524,23010,51.72330288,40.39113429,555811
2014-08-17,2773.481619,15411,52.98190272,40.15313737,556275
2014-08-18,1699.900571,10149,50.20081847,41.45235984,556573
2014-08-19,2200.657333,14704,53.7300327,53.16240479,556999
2014-08-20,2300.287429,13474,53.90609157,43.37242096,557464
2014-08-21,2376.107714,13632,50.66754028,42.5689554,557791
2014-08-22,4616.513333,24974,53.38545746,42.64435012,558584
2014-08-23,4050.964381,21616,50.18572885,39.803849,559150
2014-08-24,2709.049524,15167,53.71219989,40.32438847,559568
2014-08-25,1538.230476,9422,48.81736095,42.72978136,559796
2014-08-26,1977.235333,13074,47.75252564,53.56432614,560097
2014-08-27,2057.462286,11860,48.53492194,42.6391231,560369
2014-08-28,2632.464857,14825,49.82654858,41.11298482,560799
2014-08-29,4939.604667,25515,48.55436763,40.79952969,561474
2014-08-30,5266.882286,25356,45.1500123,39.30430667,562327
2014-08-31,3169.413429,16543,50.40766594,38.99534546,562905
2014-09-01,2709.199048,15439,56.0226586,37.70321912,563453
2014-09-02,2029.272571,13484,51.04289776,51.40907743,563849
2014-09-03,2299.449333,13444,50.81759948,40.21868492,564319
2014-09-04,2919.879333,17090,53.32106516,42.74429491,564937
2014-09-05,4620.554095,25299,51.03410809,41.65382031,565772
2014-09-06,4536.027714,24993,52.28646352,38.97091186,566583
2014-09-07,4015.106286,20522,49.58767622,38.94357275,567317
2014-09-08,1914.656381,12487,57.1727952,43.98974934,567749
2014-09-09,2072.210667,13925,49.07985086,53.49371634,568152
2014-09-10,2088.140095,12341,50.77924666,42.33044324,568555
2014-09-11,2532.203143,14887,51.22009131,42.42627796,569018
2014-09-12,4625.267238,25331,52.29360029,41.37223165,569837
2014-09-13,4741.966286,26083,53.18012745,40.05674194,570653
2014-09-14,3014.140952,17329,55.19299505,38.88279762,571209
2014-09-15,1746.799048,10813,52.53888609,41.89401646,571526
2014-09-16,2099.736095,14094,48.80158863,53.11480062,571927
